Treatment	Replicate	Leaf	Day	Sample_name	PS	CAM	CM	TD	CA	BFC	Bodo	Mites	Rotifers	FatCAM	Spinning_square	Nematodes	Mosquito_larvae	Hairy_flat	Large_bodo
P	3	T	3	P3T3	5886	0	1	0	0	0	0	0	0	0	0	0	0	0	0
O	3	T	3	O3T3	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0
N	3	T	3	N3T3	0	0	0	0	7	350	0	3	0	0	0	0	0	0	0
C	4	T	3	C4T3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
P	4	T	3	P4T3	24300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	4	T	3	O4T3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
N	4	T	3	N4T3	15876	0	0	0	0	0	15876	0	0	0	0	0	0	0	0
C	5	T	3	C5T3	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0
P	5	T	3	P5T3	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0
O	5	T	3	O5T3	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0
N	5	T	3	N5T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	6	T	3	C6T3	788.8	0	0	0	0	0	0	0	0	0	0	0	1	0	0
P	6	T	3	P6T3	1326	0	0	0	0	0	0	0	3	0	0	0	0	0	0
O	6	T	3	O6T3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
N	6	T	3	N6T3	150	0	82	0	309	0	0	1	1	0	0	0	0	0	0
C	7	T	3	C7T3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
P	7	T	3	P7T3	28728	0	0	0	0	0	0	0	2	0	0	0	0	0	0
O	7	T	3	O7T3	55	0	80	0	0	72	0	0	0	0	0	0	0	0	0
N	7	T	3	N7T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	8	T	3	C8T3	64	0	0	0	0	0	0	0	1	0	0	0	0	0	0
P	8	T	3	P8T3	4482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	8	T	3	O8T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N	8	T	3	N8T3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	1	T	4	C1T4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
P	1	T	4	P1T4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
O	1	T	4	O1T4	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0
N	1	T	4	N1T4	0	1	22	0	0	0	0	0	0	0	0	0	0	0	0
C	2	T	4	C2T4	0	0	18	0	3	0	0	0	0	0	0	0	0	0	0
P	2	T	4	P2T4	414.8	0	0	0	0	0	16	0	0	0	0	0	0	0	0
O	2	T	4	O2T4	0	0	333.2	0	4	0	0	0	0	0	0	0	0	0	0
N	2	T	4	N2T4	217.6	0	116	0	0	0	3	0	0	31	0	0	0	0	0
C	3	T	4	C3T4	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
P	3	T	4	P3T4	24408	0	9	0	0	0	0	0	0	0	0	0	0	0	0
O	3	T	4	O3T4	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0
N	3	T	4	N3T4	0	0	0	0	0	12	0	0	0	0	0	1	1	0	0
C	4	T	4	C4T4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
P	4	T	4	P4T4	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O	4	T	4	O4T4	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0
N	4	T	4	N4T4	0	0	0	0	0	0	10557	0	0	0	0	0	0	0	0
C	5	T	4	C5T4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	5	T	4	P5T4	15	0	1	0	156	0	0	0	0	0	0	0	0	0	0
O	5	T	4	O5T4	0	0	129	0	0	0	0	2	0	0	0	0	0	0	0
N	5	T	4	N5T4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	6	T	4	C6T4	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0
P	6	T	4	P6T4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O	6	T	4	O6T4	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
N	6	T	4	N6T4	265.2	0	238	0	0	0	0	0	0	0	0	0	0	0	0
C	7	T	4	C7T4	0	0	0	0	147	0	0	0	9	0	0	0	0	0	0
P	7	T	4	P7T4	3834	0	0	0	0	0	0	1	5	0	0	0	0	0	0
O	7	T	4	O7T4	98	0	1	0	26	3	0	0	0	0	0	0	0	0	0
N	7	T	4	N7T4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C	8	T	4	C8T4	2808	0	0	0	0	0	0	0	4	0	0	0	0	0	0
